id,name,parent_id,color,label_tree_id,source_id,rank,scientificname,status,valid_AphiaID,valid_name,valid_rank
446046,Asteroidea_cushion_star_2,443166,bbaaaa,3270,,Arbitrary,,,,,
446047,Pennatulacea_fluffy,443498,c59c07,3270,,Arbitrary,,,,,
446048,Ophiuroid_amphiuridae,443168,bbaaaa,3270,,Arbitrary,,,,,
446049,Bryozoan_tall_bushy,443279,bbaaaa,3270,,Arbitrary,,,,,
446050,Echinoid_dark_centre,443171,bbaaaa,3270,,Arbitrary,,,,,
446051,Holothurain_long_pink,443173,bbaaaa,3270,,Arbitrary,,,,,
446052,Porifera_fringed,443267,bbaaaa,3270,,Arbitrary,,,,,
446053,Porifera_white_cup,443267,bbaaaa,3270,,Arbitrary,,,,,
446054,Anemone_purple_grey,443264,bbaaaa,3270,,Arbitrary,,,,,
446055,Unknown_white_bushy,445962,b47eaf,3270,,Arbitrary,,,,,
446060,Chrysogorgia,443843,c50707,3270,125294,Genus,Chrysogorgia,accepted,125294,Chrysogorgia,Genus
446061,Chrysogorgia_1,446060,bbaaaa,3270,,Arbitrary,,,,,
446062,Primnoid_brown_fuzzy,443831,bbaaaa,3270,,Arbitrary,,,,,
446063,Gorgonean_brown_mess,443499,bbaaaa,3270,,Arbitrary,,,,,
446064,Crinoid_stalked_very_weird,443176,bbaaaa,3270,,Arbitrary,,,,,
446065,Lithodidae_2,443529,bbaaaa,3270,,Arbitrary,,,,,
446066,Porifera_veined,443267,bbaaaa,3270,,Arbitrary,,,,,
446067,Porifera_flowerhead,443267,bbaaaa,3270,,Arbitrary,,,,,
446068,Anemone_large_dark,443264,bbaaaa,3270,,Arbitrary,,,,,
446069,Cidaridae_1,443414,bbaaaa,3270,,Arbitrary,,,,,
446070,Shrimp 01 red,443193,bbaaaa,3270,,Arbitrary,,,,,
446071,Shrimp 02 pink,443193,b4a4a4,3270,,Arbitrary,,,,,
446072,Shrimp 03 white,443193,bbaaaa,3270,,Arbitrary,,,,,
446073,Shrimp 04 brown,443193,bbaaaa,3270,,Arbitrary,,,,,
446074,Shrimp 06 pink-white,443193,bbaaaa,3270,,Arbitrary,,,,,
446075,Shrimp,443193,bbaaaa,3270,,Arbitrary,,,,,
446076,Shrimp 05 approx 100,443193,bbaaaa,3270,,Arbitrary,,,,,
